"Huishoudens; samenstelling, grootte, regio, 1 januari"
"Leeftijd referentiepersoon: Totaal"
"";"";"Onderwerp"
"";"";"Particuliere huishoudens: samenstelling|Totaal particuliere huishoudens";"Particuliere huishoudens: samenstelling|Eenpersoonshuishouden";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Totaal meerpersoonshuishoudens";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Niet-gehuwd paar|Totaal niet-gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Gehuwd paar|Totaal gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Eenouderhuishouden|Totaal eenouderhuishoudens";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|2 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|3 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|4 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|5 of meer personen"
"Regio's";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"2000";"6801008";"2272219";"4528789";"657579";"3440642";"384317";"2242256";"897408";"943509";"445616"
"Nederland";"2005";"7090965";"2449378";"4641587";"747056";"3402433";"444124";"2317627";"905839";"973043";"445078"
"Nederland";"2010";"7386144";"2669516";"4716628";"836339";"3339959";"486250";"2417798";"907781";"970519";"420530"
"Nederland";"2015";"7665198";"2867797";"4797401";"934671";"3275358";"545289";"2512123";"923286";"961010";"400982"
"Nederland";"2021";"8043443";"3097117";"4946326";"1077723";"3233662";"593871";"2640717";"940588";"958249";"406772"
"Amsterdam";"2000";"404579";"223325";"181254";"46056";"93774";"36173";"104134";"38269";"25567";"13284"
"Amsterdam";"2005";"407784";"225153";"182631";"46938";"91629";"38606";"101083";"39948";"27418";"14182"
"Amsterdam";"2010";"422073";"233891";"188182";"52948";"90125";"38731";"103147";"40923";"29174";"14938"
"Amsterdam";"2015";"449209";"247417";"201792";"63813";"92545";"39974";"111352";"42007";"31993";"16440"
"Amsterdam";"2021";"474875";"256596";"218279";"77323";"96281";"39972";"124787";"43208";"32883";"17401"
"Bron: CBS"
